dataset,method,seed,stage,metric,value
iapr,Full,2096,1,i2t_map,0.5129706675530908
iapr,Full,2096,1,i2t_old,nan
iapr,Full,2096,1,t2i_map,0.48608149392669026
iapr,Full,2096,1,t2i_old,nan
iapr,Full,2096,2,i2t_map,0.5092967122302223
iapr,Full,2096,2,i2t_old,0.5039155101694669
iapr,Full,2096,2,t2i_map,0.47721266182246536
iapr,Full,2096,2,t2i_old,0.4722206903886973
iapr,Full,2096,3,i2t_map,0.4983800381863295
iapr,Full,2096,3,i2t_old,0.49404126482746497
iapr,Full,2096,3,t2i_map,0.4707333136233131
iapr,Full,2096,3,t2i_old,0.4671897620661602
iapr,Full,2096,4,i2t_map,0.496217873205708
iapr,Full,2096,4,i2t_old,0.49306783783308294
iapr,Full,2096,4,t2i_map,0.4764888078413307
iapr,Full,2096,4,t2i_old,0.47171779655770746
iapr,Full,2096,5,i2t_map,0.4958819118710082
iapr,Full,2096,5,i2t_old,0.4936887725296586
iapr,Full,2096,5,t2i_map,0.47525381502258407
iapr,Full,2096,5,t2i_old,0.4740911463445325
iapr,Full,2096,6,i2t_map,0.49542492001681065
iapr,Full,2096,6,i2t_old,0.49485632498152426
iapr,Full,2096,6,t2i_map,0.47016672713549057
iapr,Full,2096,6,t2i_old,0.46915263062729806
iapr,Full,2096,7,i2t_map,0.4975752100123848
iapr,Full,2096,7,i2t_old,0.4962273833769934
iapr,Full,2096,7,t2i_map,0.47005993178520755
iapr,Full,2096,7,t2i_old,0.4676567358066359
iapr,Full,2096,8,i2t_map,0.4986615202727715
iapr,Full,2096,8,i2t_old,0.4982944096364817
iapr,Full,2096,8,t2i_map,0.47608171426637824
iapr,Full,2096,8,t2i_old,0.4753369456243059
iapr,Full,2096,9,i2t_map,0.4902246847236886
iapr,Full,2096,9,i2t_old,0.4901422928650787
iapr,Full,2096,9,t2i_map,0.4642102034904834
iapr,Full,2096,9,t2i_old,0.4640797477427372
iapr,Full,2096,10,i2t_map,0.4844055405824066
iapr,Full,2096,10,i2t_old,0.48511467468099567
iapr,Full,2096,10,t2i_map,0.46193924278234105
iapr,Full,2096,10,t2i_old,0.46195660470603506
iapr,Full,6513,1,i2t_map,0.5101851679124945
iapr,Full,6513,1,i2t_old,nan
iapr,Full,6513,1,t2i_map,0.4917002497669924
iapr,Full,6513,1,t2i_old,nan
iapr,Full,6513,2,i2t_map,0.5125251749837949
iapr,Full,6513,2,i2t_old,0.5041004954100281
iapr,Full,6513,2,t2i_map,0.4826041913150154
iapr,Full,6513,2,t2i_old,0.47695265877504267
iapr,Full,6513,3,i2t_map,0.5018977569089109
