dataset,parameter,value,average_stage_mean_map_all_queries,average_final_map_all_queries,average_old_gallery_map_all_queries,delta_vs_default
mscoco,lambda_topology,0.25,0.5434128141256213,0.5683518607586462,0.5415001497121541,0.0009703451086554571
mscoco,lambda_topology,0.5,0.5389068569475786,0.5679477031211149,0.5362919514771189,-0.0035356120693872395
mscoco,lambda_topology,1.0,0.5424424690169658,0.568833241656993,0.5406721302135211,0.0
mscoco,lambda_topology,2.0,0.5395384394503947,0.5691152489055367,0.5363367867406216,-0.002904029566571098
mscoco,lambda_topology,4.0,0.5513686735906305,0.5750962197247003,0.5500447141327138,0.008926204573664664
mscoco,topology_k,1.0,0.5400880168448331,0.5602471385561463,0.5375910453201332,-0.002354452172132704
mscoco,topology_k,3.0,0.5504653917114914,0.5701670769931282,0.5488592114635394,0.008022922694525647
mscoco,topology_k,5.0,0.5424424690169658,0.568833241656993,0.5406721302135211,0.0
mscoco,topology_k,10.0,0.5504269810805841,0.5752318790762847,0.5478665183897407,0.007984512063618276
mscoco,topology_k,20.0,0.5496723598862927,0.5779959243011759,0.5481607023820279,0.007229890869326905
mscoco,topology_teacher_temperature,0.03,0.505335922325979,0.5368111047251765,0.5037679722033277,-0.037106546690986786
mscoco,topology_teacher_temperature,0.05,0.5268407899394796,0.5593831393247263,0.5264522292315592,-0.015601679077486219
mscoco,topology_teacher_temperature,0.1,0.5424424690169658,0.568833241656993,0.5406721302135211,0.0
mscoco,topology_teacher_temperature,0.2,0.5290279262755336,0.5544271398129668,0.5237814115751779,-0.013414542741432167
mscoco,topology_teacher_temperature,0.5,0.38740687838564924,0.4224946706495046,0.38045009514231304,-0.15503559063131656
nuswide81,lambda_topology,0.25,0.35658637939176496,0.3704848262629036,0.3559082029714888,-0.007697635514754886
nuswide81,lambda_topology,0.5,0.36667086189965514,0.3801584596892517,0.3663706831297828,0.0023868469931352942
nuswide81,lambda_topology,1.0,0.36428401490651985,0.3749673075494871,0.364018121687129,0.0
nuswide81,lambda_topology,2.0,0.36682784399601037,0.381494508561106,0.36624775781509356,0.0025438290894905236
nuswide81,lambda_topology,4.0,0.3660142470007921,0.3796188996649703,0.3652059104647395,0.0017302320942722549
nuswide81,topology_k,1.0,0.3660836635245315,0.3761360144864956,0.3647795101276845,0.001799648618011629
nuswide81,topology_k,3.0,0.3637179505081227,0.3800500031378432,0.363098004105721,-0.0005660643983971259
nuswide81,topology_k,5.0,0.36428401490651985,0.3749673075494871,0.364018121687129,0.0
nuswide81,topology_k,10.0,0.3647923690054412,0.3760055233654991,0.36505242461302745,0.0005083540989213597
nuswide81,topology_k,20.0,0.36762316477438495,0.3808819941085846,0.3677733403699615,0.003339149867865099
nuswide81,topology_teacher_temperature,0.03,0.3569185618042064,0.37133740662829395,0.3560506666944019,-0.007365453102313457
nuswide81,topology_teacher_temperature,0.05,0.36235720580584063,0.37385177645620715,0.3614579773766338,-0.0019268091006792165
nuswide81,topology_teacher_temperature,0.1,0.36428401490651985,0.3749673075494871,0.364018121687129,0.0
nuswide81,topology_teacher_temperature,0.2,0.3414759064797217,0.34609937406126057,0.34118059452930116,-0.022808108426798146
nuswide81,topology_teacher_temperature,0.5,0.2464622223983514,0.2535544934936618,0.24459677490584064,-0.11782179250816846
iapr,lambda_topology,0.25,0.33824310789470036,0.3553432951669288,0.3343147382493389,-0.0101762210912274
iapr,lambda_topology,0.5,0.340708304953566,0.3542254762336847,0.33796203996919566,-0.007711024032361735
iapr,lambda_topology,1.0,0.34841932898592776,0.36659279332707195,0.34591788990442673,0.0
iapr,lambda_topology,2.0,0.34512816561312276,0.3600549294947788,0.34192009978268456,-0.003291163372804995
iapr,lambda_topology,4.0,0.3457650247541959,0.362082289951036,0.34328794303059235,-0.002654304231731852
iapr,topology_k,1.0,0.328413897944401,0.33933087922870503,0.3259976377551807,-0.020005431041526744
iapr,topology_k,3.0,0.3387749441562563,0.3527811491574847,0.3361434526271257,-0.009644384829671449
iapr,topology_k,5.0,0.34841932898592776,0.36659279332707195,0.34591788990442673,0.0
iapr,topology_k,10.0,0.3529786081751471,0.3717160640160363,0.3499090061452174,0.004559279189219334
iapr,topology_k,20.0,0.3489401653863451,0.367597884792184,0.34601757808853345,0.0005208364004173349
iapr,topology_teacher_temperature,0.03,0.3266541984621451,0.3445888186646303,0.32434187875119724,-0.02176513052378265
iapr,topology_teacher_temperature,0.05,0.3364886874954637,0.35913654095297376,0.33370316297891134,-0.011930641490464078
iapr,topology_teacher_temperature,0.1,0.34841932898592776,0.36659279332707195,0.34591788990442673,0.0
iapr,topology_teacher_temperature,0.2,0.359783450017353,0.3687173213741781,0.35420535070268516,0.011364121031425256
iapr,topology_teacher_temperature,0.5,0.19531508175603066,0.19755128095007501,0.1943410925768726,-0.1531042472298971
