method,dataset,task,bit,mean_map
BCE-Topology,iapr,I2T,16,0.4381131185353047
BCE-Topology,iapr,I2T,32,0.45547499246470474
BCE-Topology,iapr,I2T,64,0.47475027569690753
BCE-Topology,iapr,I2T,128,0.48138246290143866
BCE-Topology,iapr,T2I,16,0.43097519082160496
BCE-Topology,iapr,T2I,32,0.4469074605336764
BCE-Topology,iapr,T2I,64,0.462599966144699
BCE-Topology,iapr,T2I,128,0.46875563837010803
BCE-Topology,mscoco,I2T,16,0.2668722184526473
BCE-Topology,mscoco,I2T,32,0.26624049020398755
BCE-Topology,mscoco,I2T,64,0.27289799998998787
BCE-Topology,mscoco,I2T,128,0.27613997672097573
BCE-Topology,mscoco,T2I,16,0.26644098170932573
BCE-Topology,mscoco,T2I,32,0.2687007619859974
BCE-Topology,mscoco,T2I,64,0.2715667025463435
BCE-Topology,mscoco,T2I,128,0.27205977845970264
BCE-Topology,nuswide81,I2T,16,0.197822866688919
BCE-Topology,nuswide81,I2T,32,0.2077135475469764
BCE-Topology,nuswide81,I2T,64,0.2167451433355252
BCE-Topology,nuswide81,I2T,128,0.21794851999490458
BCE-Topology,nuswide81,T2I,16,0.21172368709677564
BCE-Topology,nuswide81,T2I,32,0.2207681607226125
BCE-Topology,nuswide81,T2I,64,0.23044556541871639
BCE-Topology,nuswide81,T2I,128,0.2357967292716267
Full,iapr,I2T,16,0.43180276402938716
Full,iapr,I2T,32,0.46276340349397865
Full,iapr,I2T,64,0.48634128314730596
Full,iapr,I2T,128,0.5004914638587891
Full,iapr,T2I,16,0.4176165466799642
Full,iapr,T2I,32,0.4479426013034509
Full,iapr,T2I,64,0.4702526387881031
Full,iapr,T2I,128,0.48276840846477886
Full,mscoco,I2T,16,0.529421129597437
Full,mscoco,I2T,32,0.5544222130305738
Full,mscoco,I2T,64,0.5670429740212768
Full,mscoco,I2T,128,0.5759912085565893
Full,mscoco,T2I,16,0.5450334185467662
Full,mscoco,T2I,32,0.5702835828228784
Full,mscoco,T2I,64,0.5837740389777637
Full,mscoco,T2I,128,0.5954443898117252
Full,nuswide81,I2T,16,0.35120037953536826
Full,nuswide81,I2T,32,0.3724879986425261
Full,nuswide81,I2T,64,0.37953857786715467
Full,nuswide81,I2T,128,0.3851921249386757
Full,nuswide81,T2I,16,0.3365123662981336
Full,nuswide81,T2I,32,0.35555551649243394
Full,nuswide81,T2I,64,0.3651231197939589
Full,nuswide81,T2I,128,0.3676766031641692
No-Cross,iapr,I2T,16,0.23141076477631958
No-Cross,iapr,I2T,32,0.22220676580936358
No-Cross,iapr,I2T,64,0.2181980895732651
No-Cross,iapr,I2T,128,0.21839214578876326
No-Cross,iapr,T2I,16,0.23515751774622093
No-Cross,iapr,T2I,32,0.22112462025711765
No-Cross,iapr,T2I,64,0.2197504364726357
No-Cross,iapr,T2I,128,0.21366875953881956
No-Cross,mscoco,I2T,16,0.22608280295512817
