method,dataset,task,bit,mean_map
AMSH,iapr,I2T,16,0.515266074931403
AMSH,iapr,I2T,32,0.5582268358896215
AMSH,iapr,I2T,64,0.5864619962017157
AMSH,iapr,I2T,128,0.6016257986902803
AMSH,iapr,T2I,16,0.4954623877698838
AMSH,iapr,T2I,32,0.5346760241551651
AMSH,iapr,T2I,64,0.5609977481256819
AMSH,iapr,T2I,128,0.5766516919014779
AMSH,mscoco,I2T,16,0.5203759215901468
AMSH,mscoco,I2T,32,0.568127923592722
AMSH,mscoco,I2T,64,0.619791758124374
AMSH,mscoco,I2T,128,0.5850335418175415
AMSH,mscoco,T2I,16,0.5358032425473227
AMSH,mscoco,T2I,32,0.5857377161350213
AMSH,mscoco,T2I,64,0.6465800142440328
AMSH,mscoco,T2I,128,0.6309425423936116
AMSH,nuswide81,I2T,16,0.3384197219511039
AMSH,nuswide81,I2T,32,0.3656226471566786
AMSH,nuswide81,I2T,64,0.3825763264225738
AMSH,nuswide81,I2T,128,0.4062198264029545
AMSH,nuswide81,T2I,16,0.3031375316917676
AMSH,nuswide81,T2I,32,0.32000146146881137
AMSH,nuswide81,T2I,64,0.33841939455613973
AMSH,nuswide81,T2I,128,0.34766672332654636
BC-GTSH,iapr,I2T,16,0.43180276402938716
BC-GTSH,iapr,I2T,32,0.46276340349397865
BC-GTSH,iapr,I2T,64,0.48634128314730596
BC-GTSH,iapr,I2T,128,0.5004914638587891
BC-GTSH,iapr,T2I,16,0.4176165466799642
BC-GTSH,iapr,T2I,32,0.4479426013034509
BC-GTSH,iapr,T2I,64,0.4702526387881031
BC-GTSH,iapr,T2I,128,0.48276840846477886
BC-GTSH,mscoco,I2T,16,0.529421129597437
BC-GTSH,mscoco,I2T,32,0.5544222130305738
BC-GTSH,mscoco,I2T,64,0.5670429740212768
BC-GTSH,mscoco,I2T,128,0.5759912085565893
BC-GTSH,mscoco,T2I,16,0.5450334185467662
BC-GTSH,mscoco,T2I,32,0.5702835828228784
BC-GTSH,mscoco,T2I,64,0.5837740389777637
BC-GTSH,mscoco,T2I,128,0.5954443898117252
BC-GTSH,nuswide81,I2T,16,0.35120037953536826
BC-GTSH,nuswide81,I2T,32,0.3724879986425261
BC-GTSH,nuswide81,I2T,64,0.37953857786715467
BC-GTSH,nuswide81,I2T,128,0.3851921249386757
BC-GTSH,nuswide81,T2I,16,0.3365123662981336
BC-GTSH,nuswide81,T2I,32,0.35555551649243394
BC-GTSH,nuswide81,T2I,64,0.3651231197939589
BC-GTSH,nuswide81,T2I,128,0.3676766031641692
EDMH,iapr,I2T,16,0.22185133220833644
EDMH,iapr,I2T,32,0.293994443619494
EDMH,iapr,I2T,64,0.3469082214627759
EDMH,iapr,I2T,128,0.4118616607592393
EDMH,iapr,T2I,16,0.22154711548543207
EDMH,iapr,T2I,32,0.28638554890015033
EDMH,iapr,T2I,64,0.3552025159619632
EDMH,iapr,T2I,128,0.3973427666403912
EDMH,mscoco,I2T,16,0.2374681943449067
EDMH,mscoco,I2T,32,0.2505779254296263
EDMH,mscoco,I2T,64,0.25022197842585603
EDMH,mscoco,I2T,128,0.25964744691103137
EDMH,mscoco,T2I,16,0.26058506924008284
EDMH,mscoco,T2I,32,0.262350251366
EDMH,mscoco,T2I,64,0.2548279404053743
EDMH,mscoco,T2I,128,0.24380876299841456
EDMH,nuswide81,I2T,16,0.11174613027222166
EDMH,nuswide81,I2T,32,0.12626215717760184
EDMH,nuswide81,I2T,64,0.1142766739926921
EDMH,nuswide81,I2T,128,0.14751328737900332
EDMH,nuswide81,T2I,16,0.11573552265154761
EDMH,nuswide81,T2I,32,0.12156777584425105
EDMH,nuswide81,T2I,64,0.1307523204395512
EDMH,nuswide81,T2I,128,0.14165505134099618
GSPH,iapr,I2T,16,0.3783600788476483
GSPH,iapr,I2T,32,0.4104800642929964
GSPH,iapr,I2T,64,0.43109288523311584
GSPH,iapr,I2T,128,0.4431719735927036
GSPH,iapr,T2I,16,0.3794151688736189
GSPH,iapr,T2I,32,0.4102942269740975
GSPH,iapr,T2I,64,0.42912760323790905
GSPH,iapr,T2I,128,0.44276310854543427
GSPH,mscoco,I2T,16,0.4762213561127296
GSPH,mscoco,I2T,32,0.5137851325416222
GSPH,mscoco,I2T,64,0.5391817652561443
GSPH,mscoco,I2T,128,0.5539852966456382
GSPH,mscoco,T2I,16,0.47322345923546555
GSPH,mscoco,T2I,32,0.515090449964493
GSPH,mscoco,T2I,64,0.5436101200681297
GSPH,mscoco,T2I,128,0.5597943396609382
GSPH,nuswide81,I2T,16,0.22404157850518847
GSPH,nuswide81,I2T,32,0.24331301356835577
GSPH,nuswide81,I2T,64,0.2540780968586308
GSPH,nuswide81,I2T,128,0.2597904283741146
GSPH,nuswide81,T2I,16,0.22302517449738732
GSPH,nuswide81,T2I,32,0.2467160447146293
GSPH,nuswide81,T2I,64,0.2568205843498108
GSPH,nuswide81,T2I,128,0.26109534978586846
