method,dataset,task,bit,mean_map
BC-GTSH-PairBlind,iapr,I2T,16,0.4336402371915733
BC-GTSH-PairBlind,iapr,I2T,32,0.4674286801649747
BC-GTSH-PairBlind,iapr,I2T,64,0.4930853897909024
BC-GTSH-PairBlind,iapr,I2T,128,0.5159538108841986
BC-GTSH-PairBlind,iapr,T2I,16,0.41847225908314817
BC-GTSH-PairBlind,iapr,T2I,32,0.4443131613147641
BC-GTSH-PairBlind,iapr,T2I,64,0.4700167280595608
BC-GTSH-PairBlind,iapr,T2I,128,0.4863764958985993
BC-GTSH-PairBlind,mscoco,I2T,16,0.5275157553307492
BC-GTSH-PairBlind,mscoco,I2T,32,0.5525017216719391
BC-GTSH-PairBlind,mscoco,I2T,64,0.5683872360868095
BC-GTSH-PairBlind,mscoco,I2T,128,0.5706050434579079
BC-GTSH-PairBlind,mscoco,T2I,16,0.5440738058429633
BC-GTSH-PairBlind,mscoco,T2I,32,0.5736176247092588
BC-GTSH-PairBlind,mscoco,T2I,64,0.5909977533196046
BC-GTSH-PairBlind,mscoco,T2I,128,0.5932821815143907
BC-GTSH-PairBlind,nuswide81,I2T,16,0.3513785593148091
BC-GTSH-PairBlind,nuswide81,I2T,32,0.37230245044118376
BC-GTSH-PairBlind,nuswide81,I2T,64,0.38311927878130025
BC-GTSH-PairBlind,nuswide81,I2T,128,0.38604450106516547
BC-GTSH-PairBlind,nuswide81,T2I,16,0.3416668309568979
BC-GTSH-PairBlind,nuswide81,T2I,32,0.35989939188169295
BC-GTSH-PairBlind,nuswide81,T2I,64,0.3687302492254174
BC-GTSH-PairBlind,nuswide81,T2I,128,0.37250498390242054
DOCH,iapr,I2T,16,0.45250568371188343
DOCH,iapr,I2T,32,0.4874764697739357
DOCH,iapr,I2T,64,0.5087052708236885
DOCH,iapr,I2T,128,0.5323573165431518
DOCH,iapr,T2I,16,0.4391595685427231
DOCH,iapr,T2I,32,0.47298938489338666
DOCH,iapr,T2I,64,0.4920157156104788
DOCH,iapr,T2I,128,0.5142537417565999
DOCH,mscoco,I2T,16,0.41182909993802513
DOCH,mscoco,I2T,32,0.4518741849632559
DOCH,mscoco,I2T,64,0.49704475579757734
DOCH,mscoco,I2T,128,0.5357325622162378
DOCH,mscoco,T2I,16,0.41654785765664315
DOCH,mscoco,T2I,32,0.46101417521543436
DOCH,mscoco,T2I,64,0.5113953583519956
DOCH,mscoco,T2I,128,0.55700294027738
DOCH,nuswide81,I2T,16,0.28979031552723866
DOCH,nuswide81,I2T,32,0.3265276169748471
DOCH,nuswide81,I2T,64,0.3597584049350853
DOCH,nuswide81,I2T,128,0.3826281001137305
DOCH,nuswide81,T2I,16,0.26736421570726776
DOCH,nuswide81,T2I,32,0.2972118320140832
DOCH,nuswide81,T2I,64,0.325882908557516
DOCH,nuswide81,T2I,128,0.3448601111607881
LCDH,iapr,I2T,16,0.2564052786001133
LCDH,iapr,I2T,32,0.2590534726934666
LCDH,iapr,I2T,64,0.26741874824425726
LCDH,iapr,I2T,128,0.2861143029066561
LCDH,iapr,T2I,16,0.2621232326210697
LCDH,iapr,T2I,32,0.2659681837620198
LCDH,iapr,T2I,64,0.2685555107705143
LCDH,iapr,T2I,128,0.28571310808459704
LCDH,mscoco,I2T,16,0.29508025897874157
LCDH,mscoco,I2T,32,0.2809380787552101
LCDH,mscoco,I2T,64,0.2872189071314727
LCDH,mscoco,I2T,128,0.312817847863019
LCDH,mscoco,T2I,16,0.29557348117724197
LCDH,mscoco,T2I,32,0.27814294184943994
LCDH,mscoco,T2I,64,0.291585442559074
LCDH,mscoco,T2I,128,0.31449233126777393
LCDH,nuswide81,I2T,16,0.1250738021820442
LCDH,nuswide81,I2T,32,0.12495786725748326
LCDH,nuswide81,I2T,64,0.13686388126583907
LCDH,nuswide81,I2T,128,0.14789830832680884
LCDH,nuswide81,T2I,16,0.12913074689397377
LCDH,nuswide81,T2I,32,0.1286123775092291
LCDH,nuswide81,T2I,64,0.13802647104804963
LCDH,nuswide81,T2I,128,0.1509544120630704
OCMFH,iapr,I2T,16,0.2746595344764335
OCMFH,iapr,I2T,32,0.2803981369033871
OCMFH,iapr,I2T,64,0.2866595356576222
OCMFH,iapr,I2T,128,0.29269046107212315
OCMFH,iapr,T2I,16,0.2755418729846892
OCMFH,iapr,T2I,32,0.2808680552451688
OCMFH,iapr,T2I,64,0.2872877145324858
OCMFH,iapr,T2I,128,0.2929776750266227
OCMFH,mscoco,I2T,16,0.31412804915983444
OCMFH,mscoco,I2T,32,0.3159665255760258
OCMFH,mscoco,I2T,64,0.3336126042807446
OCMFH,mscoco,I2T,128,0.33637703160349275
OCMFH,mscoco,T2I,16,0.315720002849509
OCMFH,mscoco,T2I,32,0.3175975550835082
OCMFH,mscoco,T2I,64,0.33515270211994314
OCMFH,mscoco,T2I,128,0.3375165708508731
OCMFH,nuswide81,I2T,16,0.22061307803114708
OCMFH,nuswide81,I2T,32,0.24849839746799385
OCMFH,nuswide81,I2T,64,0.2801337648194136
OCMFH,nuswide81,I2T,128,0.30105879616768866
OCMFH,nuswide81,T2I,16,0.20765452481656826
OCMFH,nuswide81,T2I,32,0.2332036907529088
OCMFH,nuswide81,T2I,64,0.26214287939512515
OCMFH,nuswide81,T2I,128,0.2822716039028216
OH-ELS,iapr,I2T,16,0.4044828661669687
OH-ELS,iapr,I2T,32,0.44920069122940964
OH-ELS,iapr,I2T,64,0.44765277972115197
OH-ELS,iapr,I2T,128,0.41160626086647145
OH-ELS,iapr,T2I,16,0.40355245214990826
OH-ELS,iapr,T2I,32,0.4423981773040463
OH-ELS,iapr,T2I,64,0.44568870219321766
OH-ELS,iapr,T2I,128,0.41008565715879036
OH-ELS,mscoco,I2T,16,0.37104115231807966
OH-ELS,mscoco,I2T,32,0.41280369194239525
OH-ELS,mscoco,I2T,64,0.41994124028686747
OH-ELS,mscoco,I2T,128,0.3997142969802482
OH-ELS,mscoco,T2I,16,0.37062284537679596
OH-ELS,mscoco,T2I,32,0.41151898237696516
OH-ELS,mscoco,T2I,64,0.41913624328743726
OH-ELS,mscoco,T2I,128,0.39952185594563555
OH-ELS,nuswide81,I2T,16,0.20168640696444387
OH-ELS,nuswide81,I2T,32,0.24938418917863112
OH-ELS,nuswide81,I2T,64,0.2564215837510234
OH-ELS,nuswide81,I2T,128,0.24418004034431506
OH-ELS,nuswide81,T2I,16,0.1935092991867089
OH-ELS,nuswide81,T2I,32,0.2359269617204123
OH-ELS,nuswide81,T2I,64,0.2413775983106662
OH-ELS,nuswide81,T2I,128,0.22777770843491477
PIC-CMH,iapr,I2T,16,0.2578505840579655
PIC-CMH,iapr,I2T,32,0.2822900014300446
PIC-CMH,iapr,I2T,64,0.31669310755820007
PIC-CMH,iapr,I2T,128,0.31485220810809833
PIC-CMH,iapr,T2I,16,0.2516561343544218
PIC-CMH,iapr,T2I,32,0.28171414786091237
PIC-CMH,iapr,T2I,64,0.31389414010499045
PIC-CMH,iapr,T2I,128,0.3113122989948558
PIC-CMH,mscoco,I2T,16,0.2840099667023486
PIC-CMH,mscoco,I2T,32,0.41537014022710317
PIC-CMH,mscoco,I2T,64,0.46962844685433003
PIC-CMH,mscoco,I2T,128,0.46536324307737226
PIC-CMH,mscoco,T2I,16,0.2727306203538621
PIC-CMH,mscoco,T2I,32,0.41309030079189946
PIC-CMH,mscoco,T2I,64,0.4766088656535457
PIC-CMH,mscoco,T2I,128,0.47169919538386573
PIC-CMH,nuswide81,I2T,16,0.1740371006300046
PIC-CMH,nuswide81,I2T,32,0.2144891276208961
PIC-CMH,nuswide81,I2T,64,0.21166995302336106
PIC-CMH,nuswide81,I2T,128,0.22431010365539947
PIC-CMH,nuswide81,T2I,16,0.16655647623528858
PIC-CMH,nuswide81,T2I,32,0.20723850349061088
PIC-CMH,nuswide81,T2I,64,0.2105366103720103
PIC-CMH,nuswide81,T2I,128,0.22338802501653116
SSOCH-10\%,iapr,I2T,16,0.33444544387603903
SSOCH-10\%,iapr,I2T,32,0.35426300403110733
SSOCH-10\%,iapr,I2T,64,0.37188839713485516
SSOCH-10\%,iapr,I2T,128,0.37981218113531817
SSOCH-10\%,iapr,T2I,16,0.33583640443731516
SSOCH-10\%,iapr,T2I,32,0.3540516792802555
SSOCH-10\%,iapr,T2I,64,0.37290829723718893
SSOCH-10\%,iapr,T2I,128,0.37798630930180893
SSOCH-10\%,mscoco,I2T,16,0.3974629460552388
SSOCH-10\%,mscoco,I2T,32,0.4433830635720503
SSOCH-10\%,mscoco,I2T,64,0.47015571461283956
SSOCH-10\%,mscoco,I2T,128,0.4987343965433851
SSOCH-10\%,mscoco,T2I,16,0.39098034094169254
SSOCH-10\%,mscoco,T2I,32,0.43880152679699447
SSOCH-10\%,mscoco,T2I,64,0.4674447633142033
SSOCH-10\%,mscoco,T2I,128,0.49340974406104515
SSOCH-10\%,nuswide81,I2T,16,0.23805803585500884
SSOCH-10\%,nuswide81,I2T,32,0.24969448870642677
SSOCH-10\%,nuswide81,I2T,64,0.2571040547534674
SSOCH-10\%,nuswide81,I2T,128,0.26763957772477015
SSOCH-10\%,nuswide81,T2I,16,0.24224204254891632
SSOCH-10\%,nuswide81,T2I,32,0.25350631351862707
SSOCH-10\%,nuswide81,T2I,64,0.2607358651099669
SSOCH-10\%,nuswide81,T2I,128,0.27139872217653366
