method,dataset,task,bit,mean_map
BC-GTSH,iapr,I2T,16,0.43180276402938716
BC-GTSH,iapr,I2T,32,0.46276340349397865
BC-GTSH,iapr,I2T,64,0.48634128314730596
BC-GTSH,iapr,I2T,128,0.5004914638587891
BC-GTSH,iapr,T2I,16,0.4176165466799642
BC-GTSH,iapr,T2I,32,0.4479426013034509
BC-GTSH,iapr,T2I,64,0.4702526387881031
BC-GTSH,iapr,T2I,128,0.48276840846477886
BC-GTSH,mscoco,I2T,16,0.529421129597437
BC-GTSH,mscoco,I2T,32,0.5544222130305738
BC-GTSH,mscoco,I2T,64,0.5670429740212768
BC-GTSH,mscoco,I2T,128,0.5759912085565893
BC-GTSH,mscoco,T2I,16,0.5450334185467662
BC-GTSH,mscoco,T2I,32,0.5702835828228784
BC-GTSH,mscoco,T2I,64,0.5837740389777637
BC-GTSH,mscoco,T2I,128,0.5954443898117252
BC-GTSH,nuswide81,I2T,16,0.35120037953536826
BC-GTSH,nuswide81,I2T,32,0.3724879986425261
BC-GTSH,nuswide81,I2T,64,0.37953857786715467
BC-GTSH,nuswide81,I2T,128,0.3851921249386757
BC-GTSH,nuswide81,T2I,16,0.3365123662981336
BC-GTSH,nuswide81,T2I,32,0.35555551649243394
BC-GTSH,nuswide81,T2I,64,0.3651231197939589
BC-GTSH,nuswide81,T2I,128,0.3676766031641692
UIH,iapr,I2T,16,0.22832363548974371
UIH,iapr,I2T,32,0.22780867474889416
UIH,iapr,I2T,64,0.22689564306677412
UIH,iapr,I2T,128,0.22652169052631663
UIH,iapr,T2I,16,0.22956592144628643
UIH,iapr,T2I,32,0.22849443570708852
UIH,iapr,T2I,64,0.2277154180689636
UIH,iapr,T2I,128,0.22712767873939402
UIH,mscoco,I2T,16,0.25633208499331456
UIH,mscoco,I2T,32,0.25853694008357814
UIH,mscoco,I2T,64,0.2657225201816783
UIH,mscoco,I2T,128,0.2656917614560216
UIH,mscoco,T2I,16,0.2585705579618435
UIH,mscoco,T2I,32,0.2648594437233625
UIH,mscoco,T2I,64,0.2705639452799211
UIH,mscoco,T2I,128,0.2704911044498869
UIH,nuswide81,I2T,16,0.10661486221416555
UIH,nuswide81,I2T,32,0.10690100229425821
UIH,nuswide81,I2T,64,0.10737940661341851
UIH,nuswide81,I2T,128,0.10694769149486498
UIH,nuswide81,T2I,16,0.10540652259419446
UIH,nuswide81,T2I,32,0.10544241835785356
UIH,nuswide81,T2I,64,0.10663655169791217
UIH,nuswide81,T2I,128,0.10566672588794801
